produto,saldo_01_01_2025
10,1.0
1002,1.0
1004,0.0
101,0.0
1026,3.0
1037,1.0
1044,0.0
1049,2.0
1060,0.0
1061,10.0
1063,15.0
1064,1.0
1065,0.0
1070,0.0
1073,0.0
1089,0.0
109,1.0
1103,1.0
1115,0.0
1118,2.0
1130,0.0
1133,0.0
1134,0.0
1136,0.0
1139,0.0
1148,0.0
115,1.0
1153,0.0
1163,10.0
1171,0.0
1181,0.0
1189,0.0
1194,0.0
1195,0.0
1208,1.0
1210,4.0
1211,2.0
1216,1.0
1217,0.0
1225,0.0
1226,0.0
1228,1.0
1231,0.0
1238,17.0
1250,6.0
1258,0.0
1264,0.0
1267,0.0
1268,0.0
129,2.0
1290,0.0
1291,0.0
1293,1.0
1298,0.0
1299,4.0
1300,0.0
1307,3.0
1312,0.0
1322,3.0
1327,1.0
1335,0.0
1346,0.0
1351,0.0
137,0.0
1385,2.0
1404,0.0
1410,0.0
1419,0.0
1431,0.0
1432,55.0
1436,0.0
1437,1.0
1447,0.0
1449,3.0
1452,0.0
1459,0.0
1469,3.0
1470,0.0
1472,2.0
1481,0.0
1482,4.0
1487,0.0
1492,1.0
1518,0.0
1519,1.0
1523,0.0
1524,0.0
1558,2.0
1578,0.0
160,0.0
1627,0.0
1630,0.0
1650,-2.0
1653,0.0
1655,0.0
1656,5.0
1657,0.0
1677,0.0
168,0.0
1682,0.0
1698,3.0
1716,5.0
1717,6.0
1721,0.0
173,1.0
1734,0.0
1772,8.0
178,1.0
1788,0.0
1789,0.0
1794,0.0
1803,0.0
1806,0.0
1807,0.0
181,1.0
1832,2.0
1875,0.0
1935,1.0
1964,1.0
1975,0.0
198,0.0
2007,0.0
2030,0.0
2036,0.0
2040,0.0
2101,0.0
2104,0.0
2108,0.0
2115,1.0
213,0.0
2176,1.0
2186,0.0
2188,1.0
2190,0.0
221,0.0
222,5.0
2222,0.0
223,1.0
2236,1.0
2241,0.0
2243,2.0
2246,0.0
225,1.0
2251,0.0
226,1.0
2262,0.0
2265,0.0
2270,1.0
2272,0.0
2275,1.0
2278,1.0
2284,0.0
2286,2.0
2287,1.0
2290,71.0
2291,0.0
2292,0.0
2293,0.0
2296,4.0
2298,0.0
2308,1.0
2310,0.0
2323,0.0
2329,0.0
2332,0.0
2333,0.0
2335,0.0
2340,0.0
2341,2.0
2342,0.0
2346,1.0
2363,0.0
2371,1.0
2375,0.0
2376,4.0
2379,1.0
2381,0.0
2382,0.0
2389,0.0
2391,2.0
2401,1.0
2402,0.0
2404,0.0
2406,33.0
2408,0.0
2409,0.0
241,0.0
2416,1.0
2418,0.0
2420,1.0
2428,1.0
2432,1.0
2437,0.0
2442,0.0
2446,1.0
245,0.0
2461,7.0
2465,1.0
2466,1.0
2468,1.0
2478,0.0
248,0.0
2480,0.0
2482,0.0
25,0.0
2500,1.0
2514,0.0
2518,6.0
2520,0.0
2525,1.0
2526,0.0
2541,0.0
2550,3.0
2553,0.0
2564,1.0
2574,1.0
2583,0.0
2634,1.0
2636,0.0
2639,1.0
264,8.0
2665,0.0
2669,0.0
268,1.0
2681,10.0
2687,2.0
269,13.0
2693,1.0
2713,0.0
272,0.0
273,2.0
2749,1.0
2752,0.0
2753,0.0
2754,1.0
2755,3.0
280,0.0
2805,0.0
2806,0.0
2808,0.0
2813,1.0
2814,0.0
2817,0.0
2818,0.0
2823,4.0
2830,0.0
2832,0.0
2833,0.0
2835,3.0
2842,-4.0
2843,0.0
2847,0.0
2850,0.0
2855,65.0
2856,50.0
2857,128.0
2863,0.0
2867,27.0
2877,0.0
2882,2.0
2884,0.0
2886,0.0
293,0.0
2930,0.0
2932,0.0
2935,6.0
2937,2.0
2939,1.0
2943,0.0
2946,0.0
2947,0.0
2949,5.0
2952,0.0
2954,0.0
2960,1.0
2970,0.0
298,10.0
2985,0.0
2989,0.0
2994,1.0
301,0.0
3024,109.0
3025,0.0
