codigo,nome,estoque_31_12_2024,estoque_atual,diferenca_quantidade,preco_custo,valor_total_31_12_2024,valor_total_atual,diferenca_valor,movimentacoes_revertidas,saldos_redefinidos
1,UNIDADE IMP TIPO 4545A-DX4545/DX3343,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0,0
10,AGITADOR DO REVELADOR,1.0,1.0,0.0,18.96,18.96,18.96,0.0,0,0
100,ATUADOR DO INTERRUPTOR SEGURANCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1000,ENGRENAGEM DO CAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1001,ENGRENAGEM DO CILINDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1002,ENGRENAGEM DO CILINDRO 5327(C2032330),1.0,1.0,0.0,181.46,181.46,181.46,0.0,0,0
1003,ENGRENAGEM DO MOTOR P/2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1004,ENGRENAGEM DO REGISTRO - 2713,0.0,0.0,0.0,35.52,0.0,0.0,0.0,0,0
1005,ENGRENAGEM DO ROLO FUSOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1006,ENGRENAGEM DO ROLO FUSOR 2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1007,ENGRENAGEM DO ROLO FUSOR P/2818Z,0.0,0.0,0.0,8.68,0.0,0.0,0.0,0,0
1008,ENGRENAGEM DUPLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1009,ENGRENAGEM DUPLA 16/40D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
101,ATUADOR DO SENSOR,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0
1010,ENGRENAGEM DUPLA 2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1011,ENGRENAGEM DUPLA 62D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1012,ENGRENAGEM DUPLA L6/50 DENTES P/5305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1013,ENGRENAGEM LIVRE 18D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1014,ENGRENAGEM LIVRE 36Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1015,ENGRENAGEM MAGNETICA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
1016,ENGRENAGEM P/2201/3/2301/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1017,ENGRENAGEM P/3018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1018,ENGRENAGEM P/5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1019,ENGRENAGEM P/5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
102,BALANCEADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
