codigo,referencia,nome,estoque_31_12_2024,estoque_atual,diferenca_quantidade,preco_custo,valor_total_31_12_2024,valor_total_atual,diferenca_valor,movimentacoes_revertidas,saldos_redefinidos
1,L13C-211,UNIDADE IMP TIPO 4545A-DX4545/DX3343,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0,0
10,AD038032,AGITADOR DO REVELADOR,1.0,1.0,0.0,18.96,18.96,18.96,0.0,0,0
100,72104320,ATUADOR DO INTERRUPTOR SEGURANCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1000,AB013872,ENGRENAGEM DO CAME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1001,29822040,ENGRENAGEM DO CILINDRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1002,C2132330,ENGRENAGEM DO CILINDRO 5327(C2032330),1.0,1.0,0.0,181.46,181.46,181.46,0.0,0,0
1003,60122061,ENGRENAGEM DO MOTOR P/2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1004,AX210032,ENGRENAGEM DO REGISTRO - 2713,0.0,0.0,0.0,35.52,0.0,0.0,0.0,0,0
1005,29820211,ENGRENAGEM DO ROLO FUSOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1006,75720051,ENGRENAGEM DO ROLO FUSOR 2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1007,G0204177,ENGRENAGEM DO ROLO FUSOR P/2818Z,0.0,0.0,0.0,8.68,0.0,0.0,0.0,0,0
1008,A0242593,ENGRENAGEM DUPLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1009,52012815,ENGRENAGEM DUPLA 16/40D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
101,C2174503,ATUADOR DO SENSOR,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0
1010,AB017347,ENGRENAGEM DUPLA 2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1011,C2003607,ENGRENAGEM DUPLA 62D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1012,C2003604,ENGRENAGEM DUPLA L6/50 DENTES P/5305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1013,71815110,ENGRENAGEM LIVRE 18D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1014,A1731098,ENGRENAGEM LIVRE 36Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1015,AX200132,ENGRENAGEM MAGNETICA,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
1016,29808660,ENGRENAGEM P/2201/3/2301/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1017,AB017167,ENGRENAGEM P/3018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1018,C2173042,ENGRENAGEM P/5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1019,C2173043,ENGRENAGEM P/5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
102,75802050,BALANCEADOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1020,C2173045,ENGRENAGEM P/5303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1021,52153872,ENGRENAGEM P/7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1022,AB017033,ENGRENAGEM P/7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1023,A13K-001,ENGRENAGEM P/MIMIOGRAFO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1024,C2173684,ENGRENAGEM PRESSAO(C2173584),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1025,AB013093,ENGRENAGEM SEM FIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1026,C2004944,ENGRENAGEM SETORIAL 9D,3.0,3.0,0.0,2.4,7.2,7.2,0.0,0,0
1027,71806021,ENGRENAGEM SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1028,C2003628,ENGRENGEM 20T P/5305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1029,37,ENVELOPADORA DE ENVELOPE PLANO POR FOLHA COM ATE 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1030,118,ENVELOPE BRANCO CARTA OFICIO PEQUENO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1031,119,ENVELOPE BRANCO P/ CONVITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1032,1112,ENVELOPE MADEIRA GRANDE CX.C/500 MR.MAITRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1033,012,ENVELOPE MADEIRA PEQUENO CX.C/500 MR.MAITRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1034,011,ENVELOPE MEDIO MAITRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1035,013,ENVELOPE OFICIO BRANCO MAITRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1036,AC042117,ESCALA DO TAM.PAPEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1037,C2038453,ESCOVA,1.0,1.0,0.0,24.42,24.42,24.42,0.0,0,0
