codigo,nome,quantidade
10,Nome não encontrado,1.0
1002,Nome não encontrado,1.0
1004,Nome não encontrado,0.0
101,Nome não encontrado,0.0
1026,Nome não encontrado,3.0
1037,Nome não encontrado,1.0
1044,Nome não encontrado,0.0
1049,Nome não encontrado,2.0
1060,Nome não encontrado,0.0
1061,Nome não encontrado,10.0
1063,Nome não encontrado,15.0
1064,Nome não encontrado,161.0
1065,Nome não encontrado,-1.0
1070,Nome não encontrado,0.0
1073,Nome não encontrado,0.0
1089,Nome não encontrado,0.0
109,Nome não encontrado,1.0
1103,Nome não encontrado,1.0
1115,Nome não encontrado,0.0
1118,Nome não encontrado,2.0
1130,Nome não encontrado,0.0
1133,Nome não encontrado,0.0
1134,Nome não encontrado,0.0
1136,Nome não encontrado,0.0
1139,Nome não encontrado,0.0
1148,Nome não encontrado,0.0
115,Nome não encontrado,1.0
1153,Nome não encontrado,0.0
1163,Nome não encontrado,10.0
1171,Nome não encontrado,0.0
1181,Nome não encontrado,0.0
1189,Nome não encontrado,0.0
1194,Nome não encontrado,0.0
1195,Nome não encontrado,0.0
1208,Nome não encontrado,1.0
1210,Nome não encontrado,4.0
1211,Nome não encontrado,2.0
1216,Nome não encontrado,1.0
1217,Nome não encontrado,0.0
1225,Nome não encontrado,0.0
1226,Nome não encontrado,0.0
1228,Nome não encontrado,1.0
1231,Nome não encontrado,0.0
1238,Nome não encontrado,17.0
1250,Nome não encontrado,6.0
1258,Nome não encontrado,1.0
1264,Nome não encontrado,0.0
1267,Nome não encontrado,0.0
1268,Nome não encontrado,0.0
129,Nome não encontrado,2.0
1290,Nome não encontrado,0.0
1291,Nome não encontrado,0.0
1293,Nome não encontrado,1.0
1298,Nome não encontrado,0.0
1299,Nome não encontrado,4.0
1300,Nome não encontrado,0.0
1307,Nome não encontrado,3.0
1312,Nome não encontrado,0.0
1322,Nome não encontrado,3.0
1327,Nome não encontrado,1.0
1335,Nome não encontrado,0.0
1346,Nome não encontrado,0.0
1351,Nome não encontrado,0.0
137,Nome não encontrado,0.0
1385,Nome não encontrado,2.0
1404,Nome não encontrado,0.0
1410,Nome não encontrado,0.0
1419,Nome não encontrado,0.0
1431,Nome não encontrado,0.0
1432,Nome não encontrado,214.0
1436,Nome não encontrado,0.0
1437,Nome não encontrado,0.0
1447,Nome não encontrado,0.0
1449,Nome não encontrado,3.0
1452,Nome não encontrado,0.0
1459,Nome não encontrado,0.0
1469,Nome não encontrado,3.0
1470,Nome não encontrado,0.0
1472,Nome não encontrado,2.0
1481,Nome não encontrado,0.0
1482,Nome não encontrado,4.0
1487,Nome não encontrado,0.0
1492,Nome não encontrado,1.0
1518,Nome não encontrado,0.0
1519,Nome não encontrado,1.0
1523,Nome não encontrado,0.0
1524,Nome não encontrado,0.0
1558,Nome não encontrado,2.0
1578,Nome não encontrado,0.0
160,Nome não encontrado,0.0
1627,Nome não encontrado,1.0
1630,Nome não encontrado,0.0
1650,Nome não encontrado,58.0
1653,Nome não encontrado,2.0
1655,Nome não encontrado,0.0
1656,Nome não encontrado,7.0
1657,Nome não encontrado,0.0
1677,Nome não encontrado,0.0
168,Nome não encontrado,0.0
1682,Nome não encontrado,0.0
1698,Nome não encontrado,3.0
1716,Nome não encontrado,5.0
1717,Nome não encontrado,6.0
1721,Nome não encontrado,0.0
173,Nome não encontrado,1.0
1734,Nome não encontrado,0.0
1772,Nome não encontrado,8.0
178,Nome não encontrado,1.0
1788,Nome não encontrado,0.0
1789,Nome não encontrado,0.0
1794,Nome não encontrado,0.0
1803,Nome não encontrado,0.0
1806,Nome não encontrado,0.0
1807,Nome não encontrado,0.0
181,Nome não encontrado,1.0
1832,Nome não encontrado,2.0
